#{"t_start": 1632727181.1967397, "env_id": null}
r,l,t
1.166667,8,41.387138
-0.761905,11,41.420954
-0.738095,12,41.457463
1.261905,12,41.490909
-0.880952,6,41.510856
1.309524,14,41.550802
1.119048,6,41.569745
1.071429,4,41.583707
1.142857,7,41.604318
1.119048,6,41.622293
-9.666667,15,41.660635
-0.666667,15,41.701939
-0.690476,14,41.741281
1.333333,15,41.785053
-9.738095,12,41.818963
1.261905,12,41.853043
1.095238,5,41.868998
-9.690476,14,41.908558
1.190476,9,41.932111
-0.785714,10,41.961029
-9.690476,14,42.119592
1.261905,12,42.153139
1.190476,9,42.17907
1.190476,9,42.214198
-9.714286,13,42.256143
-0.714286,13,42.299882
-0.642857,16,42.346756
-9.666667,15,42.388912
-0.714286,13,42.427974
-0.761905,11,42.459956
1.333333,15,42.502142
-0.857143,7,42.524079
1.214286,10,42.552004
1.285714,13,42.58841
1.190476,9,42.615435
-0.738095,12,42.649271
1.214286,10,42.676198
1.309524,14,42.715094
1.071429,4,42.728293
-0.904762,5,42.743615
-9.785714,10,42.77051
1.238095,11,42.801976
-9.785714,10,42.827534
1.142857,7,42.846817
1.214286,10,42.99543
1.166667,8,43.01687
-0.857143,7,43.039808
-0.904762,5,43.055902
-0.714286,13,43.092313
-9.833333,8,43.114192
1.309524,14,43.152052
1.095238,5,43.16701
-9.738095,12,43.198935
1.190476,9,43.225921
1.214286,10,43.256862
1.071429,4,43.269828
1.238095,11,43.302468
-0.833333,8,43.326365
-0.785714,10,43.357324
1.261905,12,43.400807
1.190476,9,43.427835
-0.738095,12,43.463158
-0.904762,5,43.479115
-0.833333,8,43.502054
-9.785714,10,43.529724
1.190476,9,43.554597
1.142857,7,43.574751
-0.714286,13,43.61148
1.238095,11,43.643725
1.285714,13,43.678102
-9.738095,12,43.71002
1.071429,4,43.721858
-0.761905,11,43.875124
1.119048,6,43.893076
1.214286,10,43.920019
-9.785714,10,43.946867
1.095238,5,43.961828
1.166667,8,43.984918
-0.904762,5,44.001872
1.095238,5,44.018169
-0.714286,13,44.056068
-9.714286,13,44.093117
-0.738095,12,44.129021
1.119048,6,44.14798
-0.738095,12,44.183261
1.309524,14,44.224082
1.119048,6,44.243031
1.190476,9,44.268965
1.309524,14,44.307075
1.214286,10,44.33516
-0.690476,14,44.372085
-9.666667,15,44.412976
1.119048,6,44.430927
-0.714286,13,44.466787
-0.880952,6,44.486417
1.190476,9,44.513423
1.190476,9,44.540564
-9.690476,14,44.580425
-0.785714,10,44.731429
1.142857,7,44.751376
-0.857143,7,44.772929
1.214286,10,44.800854
1.119048,6,44.819803
-9.738095,12,44.85225
-9.714286,13,44.889111
1.380952,17,44.935985
1.142857,7,44.956929
1.214286,10,44.98589
1.214286,10,45.012839
-9.642857,16,45.054007
1.214286,10,45.081955
1.119048,6,45.099907
-0.833333,8,45.122848
-0.928571,4,45.136811
1.142857,7,45.157834
1.190476,9,45.181724
1.142857,7,45.20201
1.214286,10,45.229985
-9.738095,12,45.271535
-0.809524,9,45.296501
-9.761905,11,45.327072
1.190476,9,45.352
-0.761905,11,45.383811
1.166667,8,45.406958
1.095238,5,45.422929
-0.714286,13,45.582825
1.214286,10,45.611517
-9.690476,14,45.651249
-0.833333,8,45.675864
-9.785714,10,45.704786
-0.857143,7,45.745829
-9.857143,7,45.763862
-9.666667,15,45.801548
1.285714,13,45.837851
1.166667,8,45.861259
1.071429,4,45.874362
1.214286,10,45.902581
-9.785714,10,45.928069
-9.738095,12,45.960981
1.166667,8,45.983919
-0.761905,11,46.014859
-9.809524,9,46.039078
1.166667,8,46.063015
-0.785714,10,46.091854
1.214286,10,46.121075
-9.785714,10,46.149
1.238095,11,46.178956
-0.904762,5,46.19445
1.285714,13,46.230026
-9.642857,16,46.272108
-9.714286,13,46.309066
1.214286,10,46.471449
1.190476,9,46.498492
-9.785714,10,46.527426
-9.809524,9,46.553311
1.285714,13,46.593029
-9.738095,12,46.631058
-9.738095,12,46.66807
-0.785714,10,46.700775
-0.785714,10,46.734026
-0.714286,13,46.774573
1.285714,13,46.823037
1.095238,5,46.83999
1.238095,11,46.877093
-0.666667,15,46.92297
1.309524,14,46.961972
1.214286,10,46.988985
1.309524,14,47.025841
-9.785714,10,47.053723
-9.690476,14,47.091228
1.214286,10,47.118098
1.190476,9,47.141982
-0.809524,9,47.169904
-0.690476,14,47.210809
1.214286,10,47.36886
-9.857143,7,47.389378
1.071429,4,47.401867
1.095238,5,47.416826
1.285714,13,47.45435
1.166667,8,47.478564
1.190476,9,47.505079
-9.738095,12,47.536761
-0.666667,15,47.579489
-9.666667,15,47.620383
-0.785714,10,47.649309
1.285714,13,47.684852
1.095238,5,47.699816
1.238095,11,47.729864
-9.880952,6,47.747816
1.285714,13,47.781472
-9.761905,11,47.810116
-0.880952,6,47.829065
-9.761905,11,47.859983
1.261905,12,47.894109
-9.761905,11,47.925027
-9.714286,13,47.966763
1.119048,6,47.985449
1.190476,9,48.013179
-9.833333,8,48.03512
1.095238,5,48.052075
-9.738095,12,48.206523
-0.880952,6,48.224474
1.238095,11,48.256389
1.285714,13,48.293185
1.309524,14,48.333158
1.166667,8,48.357095
1.238095,11,48.38748
1.142857,7,48.407884
-9.690476,14,48.445723
1.285714,13,48.481632
-0.785714,10,48.511446
1.285714,13,48.547029
